*******************************************************************************,,,,,,,,,,
Revised: April 12, 2021         Earth Barycenter                              3,,,,,,,,,
 ,,,,,,,,,,
 Dynamical point:,,,,,,,,,,
 ---------------,,,,,,,,,,
 The common point about which the Earth and Moon revolve (center of mass). This,,,,,,,,,,
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way ,,,,,,,,,
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.,,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Wed Mar  8 07:28:40 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: Earth-Moon Barycenter (3)       {source: DE441},,,,,,,,,,
Center body name: Solar System Barycenter (0)     {source: DE441},,,,,,,,,,
Center-site name: BODY CENTER,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Start time      : A.D. 2020-Nov-16 09:03:00.0000 TDB,,,,,,,,,,
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB,,,,,,,,,,
Step-size       : 1440 minutes,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Center geodetic : 0.0,0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)},,,,,,
Center cylindric: 0.0,0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)},,,,,,
Center radii    : (undefined),,,,,,,,,,
Output units    : KM-S,,,,,,,,,,
Calendar mode   : Mixed Julian/Gregorian,,,,,,,,,,
Output type     : GEOMETRIC cartesian states,,,,,,,,,,
2459198.877, A.D. 2020-Dec-15 09:03:00.0000,1.55E+07,1.47E+08,8.37E+03,-3.01E+01,3.22E+00,3.07E-04,4.94E+02,1.48E+08,4.26E-02
2459199.877, A.D. 2020-Dec-16 09:03:00.0000,1.29E+07,1.47E+08,8.40E+03,-3.02E+01,2.69E+00,3.31E-04,4.94E+02,1.48E+08,4.85E-02
2459200.877, A.D. 2020-Dec-17 09:03:00.0000,1.03E+07,1.48E+08,8.43E+03,-3.02E+01,2.16E+00,3.56E-04,4.94E+02,1.48E+08,5.43E-02
2459201.877, A.D. 2020-Dec-18 09:03:00.0000,7.70E+06,1.48E+08,8.46E+03,-3.02E+01,1.64E+00,3.81E-04,4.94E+02,1.48E+08,6.01E-02
2459202.877, A.D. 2020-Dec-19 09:03:00.0000,5.09E+06,1.48E+08,8.49E+03,-3.03E+01,1.11E+00,4.06E-04,4.94E+02,1.48E+08,6.59E-02
2459203.877, A.D. 2020-Dec-20 09:03:00.0000,2.47E+06,1.48E+08,8.53E+03,-3.03E+01,5.77E-01,4.30E-04,4.94E+02,1.48E+08,7.17E-02
2459204.877, A.D. 2020-Dec-21 09:03:00.0000,-1.44E+05,1.48E+08,8.57E+03,-3.03E+01,4.80E-02,4.55E-04,4.94E+02,1.48E+08,7.74E-02
2459205.877, A.D. 2020-Dec-22 09:03:00.0000,-2.76E+06,1.48E+08,8.61E+03,-3.03E+01,-4.82E-01,4.80E-04,4.94E+02,1.48E+08,8.32E-02
2459206.877, A.D. 2020-Dec-23 09:03:00.0000,-5.38E+06,1.48E+08,8.65E+03,-3.03E+01,-1.01E+00,5.05E-04,4.94E+02,1.48E+08,8.89E-02
2459207.877, A.D. 2020-Dec-24 09:03:00.0000,-7.99E+06,1.48E+08,8.70E+03,-3.03E+01,-1.54E+00,5.29E-04,4.94E+02,1.48E+08,9.46E-02
