            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2313828.499305556, A.D. 1622-Dec-11 23:59:00.0000, -5.274314877239975E+09, -4.117319700293571E+10, -1.572845122213286E+10,  3.007275974595342E-01,  2.242174504494651E+00,  9.181565910785212E-01,  1.480676976632024E+05,  4.438957903285231E+10, -2.440771193316990E+00,
2314193.499305556, A.D. 1623-Dec-11 23:59:00.0000, -5.264827142444672E+09, -4.110245664524635E+10, -1.569948433969048E+10,  3.009807398100201E-01,  2.244150698950909E+00,  9.189114654693527E-01,  1.478108343067938E+05,  4.431257333586444E+10, -2.442899303512550E+00,
2314559.499305556, A.D. 1624-Dec-11 23:59:00.0000, -5.255305384224446E+09, -4.103145979116109E+10, -1.567041415192532E+10,  3.012354434137611E-01,  2.246139251431711E+00,  9.196709656891288E-01,  1.475530420410388E+05,  4.423528915886037E+10, -2.445040681334538E+00,
2314924.499305556, A.D. 1625-Dec-11 23:59:00.0000, -5.245801606647000E+09, -4.096059418237671E+10, -1.564139943155739E+10,  3.014903220251662E-01,  2.248129338834669E+00,  9.204309575180684E-01,  1.472957287835178E+05,  4.415814858491212E+10, -2.447183671685991E+00,
2315289.499305556, A.D. 1626-Dec-11 23:59:00.0000, -5.236289777437018E+09, -4.088966570389012E+10, -1.561236070346040E+10,  3.017460756401034E-01,  2.250126428956819E+00,  9.211935285839521E-01,  1.470381897048209E+05,  4.408094031147854E+10, -2.449334162243806E+00,
2315654.499305556, A.D. 1627-Dec-11 23:59:00.0000, -5.226769868897986E+09, -4.081867413418064E+10, -1.558329788604119E+10,  3.020027107634449E-01,  2.252130565160508E+00,  9.219586948241225E-01,  1.467804240135318E+05,  4.400366410129892E+10, -2.451492199549457E+00,
2316020.499305556, A.D. 1628-Dec-11 23:59:00.0000, -5.217215737821296E+09, -4.074742449226897E+10, -1.555413117356749E+10,  3.022609398788367E-01,  2.254147310905438E+00,  9.227285780491256E-01,  1.465217237698434E+05,  4.392610771935837E+10, -2.453663773426289E+00,
2316385.499305556, A.D. 1629-Dec-11 23:59:00.0000, -5.207679564464786E+09, -4.067630589568900E+10, -1.552501986424824E+10,  3.025193558243032E-01,  2.256165688872507E+00,  9.234989866203394E-01,  1.462635018333277E+05,  4.384869473030081E+10, -2.455837063186223E+00,
2316750.499305556, A.D. 1630-Dec-11 23:59:00.0000, -5.198135227588858E+09, -4.060512353451543E+10, -1.549588421771690E+10,  3.027786681393078E-01,  2.258191242307935E+00,  9.242720366010796E-01,  1.460050508786712E+05,  4.377121308333191E+10, -2.458018037551399E+00,
2317115.499305556, A.D. 1631-Dec-11 23:59:00.0000, -5.188582698815618E+09, -4.053387718173093E+10, -1.546672415041420E+10,  3.030388833951603E-01,  2.260224018131814E+00,  9.250477446281414E-01,  1.457463700948999E+05,  4.369366253532772E+10, -2.460206746614995E+00,
2317481.499305556, A.D. 1632-Dec-11 23:59:00.0000, -5.178995744428225E+09, -4.046237114897913E+10, -1.543745958678027E+10,  3.033007243141573E-01,  2.262269661883420E+00,  9.258282636999574E-01,  1.454867490018115E+05,  4.361583008968210E+10, -2.462409268447728E+00,
2317846.499305556, A.D. 1633-Dec-11 23:59:00.0000, -5.169426723326825E+09, -4.039099594912560E+10, -1.540825035766206E+10,  3.035627657389340E-01,  2.264317041154452E+00,  9.266093447877827E-01,  1.452276054705860E+05,  4.353814081348122E+10, -2.464613616326877E+00,
2318211.499305556, A.D. 1634-Dec-11 23:59:00.0000, -5.159849423996144E+09, -4.031955606721188E+10, -1.537901645373363E+10,  3.038257272126778E-01,  2.266371778484688E+00,  9.273931325110040E-01,  1.449682296438707E+05,  4.346038189684446E+10, -2.466825843678656E+00,
2318576.499305556, A.D. 1635-Dec-11 23:59:00.0000, -5.150263817319283E+09, -4.024805127048827E+10, -1.534975778938965E+10,  3.040896150636197E-01,  2.268433919351489E+00,  9.281796427806057E-01,  1.447086206902888E+05,  4.338255309053133E+10, -2.469045998967756E+00,
2318942.499305556, A.D. 1636-Dec-11 23:59:00.0000, -5.140643577758047E+09, -4.017628515298075E+10, -1.532039401550209E+10,  3.043551604909913E-01,  2.270509191373275E+00,  9.289710585114419E-01,  1.444480655526828E+05,  4.330444062538389E+10, -2.471280247847714E+00,
2319307.499305556, A.D. 1637-Dec-11 23:59:00.0000, -5.131041245417084E+09, -4.010464964300361E+10, -1.529108550299492E+10,  3.046209182566919E-01,  2.272586302606294E+00,  9.297630723384769E-01,  1.441879871857654E+05,  4.322647109249310E+10, -2.473516432863048E+00,
2319672.499305556, A.D. 1638-Dec-11 23:59:00.0000, -5.121430517292427E+09, -4.003294851036168E+10, -1.526175196983714E+10,  3.048876186954765E-01,  2.274670961483879E+00,  9.305578607165899E-01,  1.439276731637319E+05,  4.314843091197583E+10, -2.475760699516427E+00,
2320037.499305556, A.D. 1639-Dec-11 23:59:00.0000, -5.111811363549400E+09, -3.996118151627545E+10, -1.523239332825817E+10,  3.051552686016007E-01,  2.276763216064188E+00,  9.313554407245962E-01,  1.436671226337522E+05,  4.307031982815999E+10, -2.478013099130835E+00,
2320403.499305556, A.D. 1640-Dec-11 23:59:00.0000, -5.102157365502404E+09, -3.988915152642372E+10, -1.520292895159988E+10,  3.054246102936745E-01,  2.278868877960865E+00,  9.321580257675719E-01,  1.434056199233755E+05,  4.299192328784252E+10, -2.480279887231974E+00,
