*******************************************************************************,,,,,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 18:40:33,,,,,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,,,,,
 ,,,,,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,,,,,
 ,,,,,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,,,,,
 ,,,,,,,,,,
Comet physical (GM= km^3/s^2, RAD= km):,,,,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,,,,,
 ,,,,,,,,,,
COMET comments ,,,,,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,,,,,
2: k1=20.75, k2=5., phase coef.=0.03,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
  ,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Tue Mar  7 18:40:33 2023 Pasadena, USA      / Horizons,,,,,,,,,
2321133.499, A.D. 1642-Dec-11 23:59:00.0000,-5.08E+09,-3.97E+10,-1.51E+10,3.06E-01,2.28E+00,9.34E-01,1.43E+05,4.28E+10,-2.48E+00
2321498.499, A.D. 1643-Dec-11 23:59:00.0000,-5.07E+09,-3.97E+10,-1.51E+10,3.06E-01,2.29E+00,9.35E-01,1.43E+05,4.28E+10,-2.49E+00
2321864.499, A.D. 1644-Dec-11 23:59:00.0000,-5.06E+09,-3.96E+10,-1.51E+10,3.07E-01,2.29E+00,9.35E-01,1.42E+05,4.27E+10,-2.49E+00
2322229.499, A.D. 1645-Dec-11 23:59:00.0000,-5.05E+09,-3.95E+10,-1.51E+10,3.07E-01,2.29E+00,9.36E-01,1.42E+05,4.26E+10,-2.49E+00
2322594.499, A.D. 1646-Dec-11 23:59:00.0000,-5.04E+09,-3.95E+10,-1.50E+10,3.07E-01,2.29E+00,9.37E-01,1.42E+05,4.25E+10,-2.49E+00
2322959.499, A.D. 1647-Dec-11 23:59:00.0000,-5.03E+09,-3.94E+10,-1.50E+10,3.07E-01,2.29E+00,9.38E-01,1.42E+05,4.24E+10,-2.50E+00
2323325.499, A.D. 1648-Dec-11 23:59:00.0000,-5.02E+09,-3.93E+10,-1.50E+10,3.08E-01,2.30E+00,9.39E-01,1.41E+05,4.24E+10,-2.50E+00
2323690.499, A.D. 1649-Dec-11 23:59:00.0000,-5.02E+09,-3.92E+10,-1.49E+10,3.08E-01,2.30E+00,9.39E-01,1.41E+05,4.23E+10,-2.50E+00
2324055.499, A.D. 1650-Dec-11 23:59:00.0000,-5.01E+09,-3.92E+10,-1.49E+10,3.08E-01,2.30E+00,9.40E-01,1.41E+05,4.22E+10,-2.50E+00
2324420.499, A.D. 1651-Dec-11 23:59:00.0000,-5.00E+09,-3.91E+10,-1.49E+10,3.08E-01,2.30E+00,9.41E-01,1.41E+05,4.21E+10,-2.51E+00
2324786.499, A.D. 1652-Dec-11 23:59:00.0000,-4.99E+09,-3.90E+10,-1.48E+10,3.09E-01,2.30E+00,9.42E-01,1.40E+05,4.20E+10,-2.51E+00
2325151.499, A.D. 1653-Dec-11 23:59:00.0000,-4.98E+09,-3.89E+10,-1.48E+10,3.09E-01,2.31E+00,9.43E-01,1.40E+05,4.20E+10,-2.51E+00
2325516.499, A.D. 1654-Dec-11 23:59:00.0000,-4.97E+09,-3.89E+10,-1.48E+10,3.09E-01,2.31E+00,9.44E-01,1.40E+05,4.19E+10,-2.51E+00
2325881.499, A.D. 1655-Dec-11 23:59:00.0000,-4.96E+09,-3.88E+10,-1.48E+10,3.10E-01,2.31E+00,9.45E-01,1.39E+05,4.18E+10,-2.52E+00
2326247.499, A.D. 1656-Dec-11 23:59:00.0000,-4.95E+09,-3.87E+10,-1.47E+10,3.10E-01,2.31E+00,9.45E-01,1.39E+05,4.17E+10,-2.52E+00
2326612.499, A.D. 1657-Dec-11 23:59:00.0000,-4.94E+09,-3.87E+10,-1.47E+10,3.10E-01,2.32E+00,9.46E-01,1.39E+05,4.17E+10,-2.52E+00
2326977.499, A.D. 1658-Dec-11 23:59:00.0000,-4.93E+09,-3.86E+10,-1.47E+10,3.10E-01,2.32E+00,9.47E-01,1.39E+05,4.16E+10,-2.52E+00
2327342.499, A.D. 1659-Dec-11 23:59:00.0000,-4.92E+09,-3.85E+10,-1.46E+10,3.11E-01,2.32E+00,9.48E-01,1.38E+05,4.15E+10,-2.52E+00
2327708.499, A.D. 1660-Dec-11 23:59:00.0000,-4.91E+09,-3.84E+10,-1.46E+10,3.11E-01,2.32E+00,9.49E-01,1.38E+05,4.14E+10,-2.53E+00
2328073.499, A.D. 1661-Dec-11 23:59:00.0000,-4.90E+09,-3.84E+10,-1.46E+10,3.11E-01,2.32E+00,9.50E-01,1.38E+05,4.13E+10,-2.53E+00
2328438.499, A.D. 1662-Dec-11 23:59:00.0000,-4.89E+09,-3.83E+10,-1.45E+10,3.12E-01,2.33E+00,9.51E-01,1.38E+05,4.13E+10,-2.53E+00
2328803.499, A.D. 1663-Dec-11 23:59:00.0000,-4.88E+09,-3.82E+10,-1.45E+10,3.12E-01,2.33E+00,9.51E-01,1.37E+05,4.12E+10,-2.53E+00
2329169.499, A.D. 1664-Dec-11 23:59:00.0000,-4.87E+09,-3.81E+10,-1.45E+10,3.12E-01,2.33E+00,9.52E-01,1.37E+05,4.11E+10,-2.54E+00
2329534.499, A.D. 1665-Dec-11 23:59:00.0000,-4.86E+09,-3.81E+10,-1.45E+10,3.12E-01,2.33E+00,9.53E-01,1.37E+05,4.10E+10,-2.54E+00
2329899.499, A.D. 1666-Dec-11 23:59:00.0000,-4.85E+09,-3.80E+10,-1.44E+10,3.13E-01,2.34E+00,9.54E-01,1.37E+05,4.09E+10,-2.54E+00
2330264.499, A.D. 1667-Dec-11 23:59:00.0000,-4.84E+09,-3.79E+10,-1.44E+10,3.13E-01,2.34E+00,9.55E-01,1.36E+05,4.09E+10,-2.54E+00
2330630.499, A.D. 1668-Dec-11 23:59:00.0000,-4.83E+09,-3.78E+10,-1.44E+10,3.13E-01,2.34E+00,9.56E-01,1.36E+05,4.08E+10,-2.55E+00
2330995.499, A.D. 1669-Dec-11 23:59:00.0000,-4.82E+09,-3.78E+10,-1.43E+10,3.14E-01,2.34E+00,9.57E-01,1.36E+05,4.07E+10,-2.55E+00
2331360.499, A.D. 1670-Dec-11 23:59:00.0000,-4.81E+09,-3.77E+10,-1.43E+10,3.14E-01,2.35E+00,9.58E-01,1.35E+05,4.06E+10,-2.55E+00
2331725.499, A.D. 1671-Dec-11 23:59:00.0000,-4.80E+09,-3.76E+10,-1.43E+10,3.14E-01,2.35E+00,9.58E-01,1.35E+05,4.05E+10,-2.55E+00
2332091.499, A.D. 1672-Dec-11 23:59:00.0000,-4.79E+09,-3.76E+10,-1.42E+10,3.15E-01,2.35E+00,9.59E-01,1.35E+05,4.04E+10,-2.56E+00
2332456.499, A.D. 1673-Dec-11 23:59:00.0000,-4.78E+09,-3.75E+10,-1.42E+10,3.15E-01,2.35E+00,9.60E-01,1.35E+05,4.04E+10,-2.56E+00
2332821.499, A.D. 1674-Dec-11 23:59:00.0000,-4.77E+09,-3.74E+10,-1.42E+10,3.15E-01,2.36E+00,9.61E-01,1.34E+05,4.03E+10,-2.56E+00
2333186.499, A.D. 1675-Dec-11 23:59:00.0000,-4.76E+09,-3.73E+10,-1.42E+10,3.15E-01,2.36E+00,9.62E-01,1.34E+05,4.02E+10,-2.57E+00
2333552.499, A.D. 1676-Dec-11 23:59:00.0000,-4.75E+09,-3.73E+10,-1.41E+10,3.16E-01,2.36E+00,9.63E-01,1.34E+05,4.01E+10,-2.57E+00
2333917.499, A.D. 1677-Dec-11 23:59:00.0000,-4.74E+09,-3.72E+10,-1.41E+10,3.16E-01,2.36E+00,9.64E-01,1.34E+05,4.00E+10,-2.57E+00
2334282.499, A.D. 1678-Dec-11 23:59:00.0000,-4.73E+09,-3.71E+10,-1.41E+10,3.16E-01,2.36E+00,9.65E-01,1.33E+05,4.00E+10,-2.57E+00
2334647.499, A.D. 1679-Dec-11 23:59:00.0000,-4.72E+09,-3.70E+10,-1.40E+10,3.17E-01,2.37E+00,9.66E-01,1.33E+05,3.99E+10,-2.58E+00
2335013.499, A.D. 1680-Dec-11 23:59:00.0000,-4.71E+09,-3.70E+10,-1.40E+10,3.17E-01,2.37E+00,9.67E-01,1.33E+05,3.98E+10,-2.58E+00
2335378.499, A.D. 1681-Dec-11 23:59:00.0000,-4.70E+09,-3.69E+10,-1.40E+10,3.17E-01,2.37E+00,9.68E-01,1.32E+05,3.97E+10,-2.58E+00
2335743.499, A.D. 1682-Dec-11 23:59:00.0000,-4.69E+09,-3.68E+10,-1.39E+10,3.18E-01,2.37E+00,9.69E-01,1.32E+05,3.96E+10,-2.58E+00
2336108.499, A.D. 1683-Dec-11 23:59:00.0000,-4.68E+09,-3.67E+10,-1.39E+10,3.18E-01,2.38E+00,9.70E-01,1.32E+05,3.96E+10,-2.59E+00
2336474.499, A.D. 1684-Dec-11 23:59:00.0000,-4.67E+09,-3.67E+10,-1.39E+10,3.18E-01,2.38E+00,9.70E-01,1.32E+05,3.95E+10,-2.59E+00
2336839.499, A.D. 1685-Dec-11 23:59:00.0000,-4.66E+09,-3.66E+10,-1.39E+10,3.19E-01,2.38E+00,9.71E-01,1.31E+05,3.94E+10,-2.59E+00
2337204.499, A.D. 1686-Dec-11 23:59:00.0000,-4.65E+09,-3.65E+10,-1.38E+10,3.19E-01,2.38E+00,9.72E-01,1.31E+05,3.93E+10,-2.59E+00
2337569.499, A.D. 1687-Dec-11 23:59:00.0000,-4.64E+09,-3.64E+10,-1.38E+10,3.19E-01,2.39E+00,9.73E-01,1.31E+05,3.92E+10,-2.60E+00
2337935.499, A.D. 1688-Dec-11 23:59:00.0000,-4.63E+09,-3.64E+10,-1.38E+10,3.20E-01,2.39E+00,9.74E-01,1.31E+05,3.91E+10,-2.60E+00
2338300.499, A.D. 1689-Dec-11 23:59:00.0000,-4.62E+09,-3.63E+10,-1.37E+10,3.20E-01,2.39E+00,9.75E-01,1.30E+05,3.91E+10,-2.60E+00
2338665.499, A.D. 1690-Dec-11 23:59:00.0000,-4.61E+09,-3.62E+10,-1.37E+10,3.20E-01,2.39E+00,9.76E-01,1.30E+05,3.90E+10,-2.61E+00
2339030.499, A.D. 1691-Dec-11 23:59:00.0000,-4.60E+09,-3.61E+10,-1.37E+10,3.21E-01,2.40E+00,9.77E-01,1.30E+05,3.89E+10,-2.61E+00
2339396.499, A.D. 1692-Dec-11 23:59:00.0000,-4.59E+09,-3.61E+10,-1.36E+10,3.21E-01,2.40E+00,9.78E-01,1.29E+05,3.88E+10,-2.61E+00
2339761.499, A.D. 1693-Dec-11 23:59:00.0000,-4.58E+09,-3.60E+10,-1.36E+10,3.21E-01,2.40E+00,9.79E-01,1.29E+05,3.87E+10,-2.61E+00
2340126.499, A.D. 1694-Dec-11 23:59:00.0000,-4.57E+09,-3.59E+10,-1.36E+10,3.22E-01,2.41E+00,9.80E-01,1.29E+05,3.87E+10,-2.62E+00
2340491.499, A.D. 1695-Dec-11 23:59:00.0000,-4.56E+09,-3.58E+10,-1.35E+10,3.22E-01,2.41E+00,9.81E-01,1.29E+05,3.86E+10,-2.62E+00
2340857.499, A.D. 1696-Dec-11 23:59:00.0000,-4.55E+09,-3.57E+10,-1.35E+10,3.22E-01,2.41E+00,9.82E-01,1.28E+05,3.85E+10,-2.62E+00
2341222.499, A.D. 1697-Dec-11 23:59:00.0000,-4.54E+09,-3.57E+10,-1.35E+10,3.23E-01,2.41E+00,9.83E-01,1.28E+05,3.84E+10,-2.62E+00
2341587.499, A.D. 1698-Dec-11 23:59:00.0000,-4.53E+09,-3.56E+10,-1.35E+10,3.23E-01,2.42E+00,9.84E-01,1.28E+05,3.83E+10,-2.63E+00
2341952.499, A.D. 1699-Dec-11 23:59:00.0000,-4.52E+09,-3.55E+10,-1.34E+10,3.23E-01,2.42E+00,9.85E-01,1.28E+05,3.82E+10,-2.63E+00
2342317.499, A.D. 1700-Dec-11 23:59:00.0000,-4.51E+09,-3.54E+10,-1.34E+10,3.24E-01,2.42E+00,9.86E-01,1.27E+05,3.82E+10,-2.63E+00
2342682.499, A.D. 1701-Dec-11 23:59:00.0000,-4.50E+09,-3.54E+10,-1.34E+10,3.24E-01,2.42E+00,9.87E-01,1.27E+05,3.81E+10,-2.64E+00
2343047.499, A.D. 1702-Dec-11 23:59:00.0000,-4.49E+09,-3.53E+10,-1.33E+10,3.24E-01,2.43E+00,9.88E-01,1.27E+05,3.80E+10,-2.64E+00
2343412.499, A.D. 1703-Dec-11 23:59:00.0000,-4.48E+09,-3.52E+10,-1.33E+10,3.25E-01,2.43E+00,9.89E-01,1.26E+05,3.79E+10,-2.64E+00
