*******************************************************************************,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 16:39:14,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,
 ,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,
 ,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,
 ,,,,,,
Comet physical (GM= km^3/s^2; RAD= km):,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,
 ,,,,,,
COMET comments ,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,
2: k1=20.75, k2=5., phase coef.=0.03;,,,,
*******************************************************************************,,,,,,
,,,,,,
,,,,,,
*******************************************************************************,,,,,,
Ephemeris / WWW_USER Tue Mar  7 16:39:14 2023 Pasadena, USA      / Horizons    ,,,,,
*******************************************************************************,,,,,,
Target body name: McNaught (C/2006 P1)            {source: JPL#27},,,,,,
 1631-Dec-10 23:59,2317114.499, ,m,292.9995287,-2.9839122,182.5815
 1632-Dec-10 23:59,2317480.499, , ,292.4775032,-3.3524267,182.6383
 1633-Dec-10 23:59,2317845.499, ,m,291.958024,-3.2341375,182.7383
 1634-Dec-10 23:59,2318210.499, , ,291.4393363,-3.0830357,182.8307
 1635-Dec-10 23:59,2318575.499, , ,290.9210866,-2.9706145,182.9121
 1636-Dec-10 23:59,2318941.499, ,m,290.4006457,-3.3403605,182.975
 1637-Dec-10 23:59,2319306.499, , ,289.8816366,-3.2031645,183.0118
 1638-Dec-10 23:59,2319671.499, ,m,289.3614008,-3.1032069,183.0112
 1639-Dec-10 23:59,2320036.499, ,m,288.8395242,-2.9711727,182.9448
 1640-Dec-10 23:59,2320402.499, , ,288.31404,-3.343488,182.818
 1641-Dec-10 23:59,2320767.499, ,m,287.7888038,-3.2387172,182.6605
 1642-Dec-10 23:59,2321132.499, , ,287.2624516,-3.0950975,182.5427
 1643-Dec-10 23:59,2321497.499, , ,286.7357467,-2.9771147,182.5388
 1644-Dec-10 23:59,2321863.499, ,m,286.2073197,-3.3494568,182.6278
 1645-Dec-10 23:59,2322228.499, , ,285.6818214,-3.1997384,182.7399
 1646-Dec-10 23:59,2322593.499, ,m,285.1571795,-3.0882961,182.8411
 1647-Dec-10 23:59,2322958.499, ,m,284.6329679,-2.9547645,182.9168
 1648-Dec-10 23:59,2323324.499, , ,284.1069259,-3.3125483,182.9742
 1649-Dec-10 23:59,2323689.499, ,m,283.582228,-3.2100512,183.011
 1650-Dec-10 23:59,2324054.499, ,m,283.0564664,-3.0702808,183.0072
 1651-Dec-10 23:59,2324419.499, , ,282.5293302,-2.9527277,182.9576
 1652-Dec-10 23:59,2324785.499, ,m,281.998482,-3.3421074,182.8514
 1653-Dec-10 23:59,2325150.499, , ,281.4681924,-3.1982168,182.725
 1654-Dec-10 23:59,2325515.499, , ,280.9369134,-3.0909413,182.6494
 1655-Dec-10 23:59,2325880.499, ,m,280.4052228,-2.9635122,182.6627
 1656-Dec-10 23:59,2326246.499, , ,279.8720894,-3.3124594,182.7477
 1657-Dec-10 23:59,2326611.499, ,m,279.3416431,-3.2038653,182.8528
 1658-Dec-10 23:59,2326976.499, ,m,278.8118517,-3.0597707,182.9423
 1659-Dec-10 23:59,2327341.499, , ,278.2824184,-2.9297007,183.0197
